problem,reasoning
"1. Let Rehman's present age be `x` years.  
2. His age 3 years ago was `(x - 3)`.  
3. His age 5 years from now will be `(x + 5)`.  
4. Given that the sum of their reciprocals is 1/3.
Final Equation: 1 / (x - 3) + 1 / (x + 5) = 1 / 3"

"The hypotenuse of a right triangle is 25 cm. The difference between the lengths of the other two sides of the triangle is 5 cm. Find the lengths of these sides.",  
"1. Let the lengths of the two other sides be `x` and `y` such that `x > y`.  
2. Given that the hypotenuse is 25 cm, applying the Pythagorean theorem: x^2 + y^2 = 25^2.
3. Also given that the difference of the two sides is 5 cm.
Final Equations: x**2 + y**2 = 625 and x - y = 5"

"The diagonal of a rectangular field is 60 metres more than the shorter side. If the longer side is 30 metres more than the shorter side, find the sides of the field.",  
"1. Let the shorter side be `x` meters.  
2. The longer side is `x + 30` meters.  
3. The diagonal is `x + 60` meters.  
4. Applying the Pythagorean theorem.
Final Equation: x**2 + (x + 30)**2 = (x + 60)**2"

"A pole has to be erected at a point on the boundary of a circular park of diameter 13 meters in such a way that the difference of its distances from two diametrically opposite fixed gates A and B on the boundary is 7 meters. At what distances from the two gates should the pole be erected?",  
"1. Let the radius of the circular park be `r = 13/2 = 6.5` meters.  
2. Let the distances of the pole from gates A and B be `x` and `y` such that `x > y`.  
3. Given that the difference of these distances is 7 meters: x-y = 7.
4. Using the property of a circle where distances from diametrically opposite points relate to the chord length.
Final Equations: x - y = 7 and x**2 + y**2 = (6.5) ** 2"

"The perimeter of a rectangular field is 82 m and its area is 400 m². Find the breadth of the rectangle.",  
"1. Let the length and breadth of the rectangle be `l` and `b`.  
2. Given that the perimeter is 82 m:  2(l + b) = 82.
3. Given that the area is 400 m²:  l * b = 400.
Final Equations: 2(l + b) = 82 and l * b = 400"

"The length of a hall is 5 m more than its breadth. If the area of the floor of the hall is 84 m², what are the length and breadth of the hall?",  
"1. Let the breadth of the hall be `x` meters.  
2. The length is given as `x + 5` meters.  
3. Given that the area is 84 m²:  x * (x + 5) = 84.
Final Equation: x * (x + 5) = 84"

"Two squares have sides x cm and (x + 4) cm. The sum of their areas is 656 cm². Find the sides of the squares.",  
"1. The areas of the squares are `x²` and `(x + 4)²`.  
2. Given that their sum is 656 cm².
Final Equation: x**2 + (x + 4)**2 = 656"

"The area of a right-angled triangle is 165 m². Determine its base and altitude if the latter exceeds the former by 7 m.",  
"1. Let the base be `x` meters.  
2. The altitude is given as `x + 7` meters.  
3. Given that the area is 165 m²:  
Final Equation: (1/2) * x * (x + 7) = 165"

"Is it possible to design a rectangular mango grove whose length is twice its breadth, and the area is 800 m²? If so, find its length and breadth.",  
"1. Let the breadth be `x` meters.  
2. The length is given as `2x` meters.  
3. Given that the area is 800 m². 
Final Equation: x * 2x = 800"

"Is it possible to design a rectangular park of perimeter 80 and area 400 m²? If so, find its length and breadth.",  
"1. Let the length and breadth be `l` and `b`.  
2. Given that the perimeter is 80 m: 2(l + b) = 80.
3. Given that the area is 400 m².
Final Equations: 2(l + b) = 80 and l * b = 400"

"Sum of the areas of two squares is 640 m². If the difference of their perimeters is 64 m, find the sides of the two squares.",  
"1. Let the sides of the squares be `x` and `y` meters, where `x > y`.  
2. Given that the sum of their areas is 640 m²: x**2 + y**2 = 640.
3. Given that the difference of their perimeters is 64 m.
Final Equations: x**2 + y**2 = 640 and 4x - 4y = 64"

"Sum of the area of two squares is 400 cm². If the difference of their perimeters is 16 cm, find the sides of two squares.",  
"1. Let the sides of the squares be `x` and `y` cm, where `x > y`.  
2. Given that the sum of their areas is 400 cm²:  x**2 + y**2 = 400.
3. Given that the difference of their perimeters is 16 cm.
Final Equations: x**2 + y**2 = 400 and 4x - 4y = 16".

"A takes 10 days less than the time taken by B to finish a piece of work. If both A and B together can finish the work in 12 days, find the time taken by B to finish the work.",  
"1. Let B take `x` days to finish the work alone.  
2. Since A takes 10 days less, A will take `(x - 10)` days.  
3. Work done by A in one day is `1 / (x - 10)`, and by B in one day is `1 / x`.  
4. Together, they complete the work in 12 days.
Final Equation: (1 / (x - 10)) + (1 / x) = 1 / 12"

"If two pipes function simultaneously, a reservoir will be filled in 12 hours. One pipe fills the reservoir 10 hours faster than the other. How many hours will the second pipe take to fill the reservoir?",  
"1. Let the time taken by the slower pipe to fill the reservoir alone be `x` hours.  
2. Then, the faster pipe takes `(x - 10)` hours.  
3. Work done by the slower pipe in one hour is `1 / x`, and by the faster pipe is `1 / (x - 10)`.  
4. Together, they fill the reservoir in 12 hours.
Final Equation: (1 / x) + (1 / (x - 10)) = 1 / 12"

"To fill a swimming pool, two pipes are used. If the pipe of larger diameter is used for 4 hours and the pipe of smaller diameter for 9 hours, only half of the pool can be filled. Find how long it would take for each pipe to fill the pool separately, if the pipe of smaller diameter takes 10 hours more than the pipe of larger diameter to fill the pool.",  
"1. Let the larger pipe take `x` hours to fill the pool alone.  
2. The smaller pipe takes `x + 10` hours.  
3. Work done by the larger pipe in one hour is `1 / x`, and by the smaller pipe is `1 / (x + 10)`.  
4. Given that using the larger pipe for 4 hours and the smaller pipe for 9 hours fills half the pool:  
Final Equation: (4 / x) + (9 / (x + 10)) = 1 / 2"
